date,home_team,away_team,home_score,away_score,tournament,neutral
2018-01-01,Spain,Poland,3,1,Friendly,False
2018-01-02,Ghana,Morocco,3,1,Friendly,False
2018-01-03,Saudi Arabia,Spain,1,4,Friendly,False
2018-01-04,USA,Serbia,3,1,Friendly,True
2018-01-05,Germany,Poland,2,2,Friendly,False
2018-01-07,Brazil,Poland,2,0,Friendly,False
2018-01-08,Serbia,Germany,3,1,Friendly,False
2018-01-09,Netherlands,Argentina,2,3,Friendly,False
2018-01-10,Argentina,Senegal,2,0,Friendly,True
2018-01-12,Saudi Arabia,Morocco,1,3,Friendly,False
2018-01-13,Portugal,Italy,2,1,Friendly,True
2018-01-14,Argentina,USA,2,0,Friendly,False
2018-01-15,Spain,New Zealand,6,0,Friendly,False
2018-01-16,Spain,England,1,1,Friendly,False
2018-01-18,Portugal,Mexico,4,0,Friendly,False
2018-01-19,Poland,Ghana,1,0,Friendly,True
2018-01-20,England,Ecuador,3,0,Friendly,True
2018-01-21,Senegal,Brazil,1,3,Friendly,False
2018-01-23,Mexico,USA,2,2,Friendly,False
2018-01-24,Belgium,Italy,1,3,Friendly,True
2018-01-25,Denmark,New Zealand,2,1,Friendly,True
2018-01-26,Netherlands,Germany,1,1,Friendly,False
2018-01-28,France,Mexico,5,2,Friendly,False
2018-01-29,Costa Rica,Morocco,0,2,Friendly,False
2018-01-30,Spain,Ghana,3,2,Friendly,True
2018-01-31,Morocco,Brazil,0,0,Friendly,True
2018-02-01,Argentina,Ecuador,2,2,Friendly,False
2018-02-03,Ghana,England,1,2,Friendly,True
2018-02-04,Italy,Qatar,0,1,Friendly,False
2018-02-05,Ghana,Belgium,2,4,Friendly,True
2018-02-06,England,South Korea,2,2,Friendly,False
2018-02-08,England,Serbia,3,0,Friendly,False
2018-02-09,Qatar,Canada,0,1,Friendly,True
2018-02-10,Serbia,Germany,0,2,Friendly,False
2018-02-11,Brazil,Switzerland,0,0,Friendly,True
2018-02-13,Ghana,England,1,4,Friendly,False
2018-02-14,USA,Portugal,1,0,Friendly,True
2018-02-15,Argentina,Netherlands,0,1,Friendly,False
2018-02-16,Colombia,New Zealand,6,1,Friendly,False
2018-02-17,England,Qatar,3,0,Friendly,False
2018-02-19,Portugal,Morocco,1,1,Friendly,False
2018-02-20,Panama,Netherlands,2,4,Friendly,False
2018-02-21,South Korea,Canada,1,1,Friendly,False
2018-02-22,Belgium,Qatar,1,1,Friendly,True
2018-02-24,Qatar,New Zealand,3,1,Friendly,False
2018-02-25,Poland,Mexico,2,3,Friendly,True
2018-02-26,Denmark,Netherlands,0,0,Friendly,True
2018-02-27,Costa Rica,USA,2,2,Friendly,False
2018-03-01,Poland,Croatia,0,2,Friendly,True
2018-03-02,Italy,Brazil,3,3,Friendly,False
2018-03-03,Belgium,Saudi Arabia,2,1,Friendly,True
2018-03-04,Morocco,Denmark,1,2,Friendly,False
2018-03-05,Panama,Colombia,1,3,Friendly,False
2018-03-07,Saudi Arabia,Ecuador,0,0,Friendly,True
2018-03-08,Ghana,Poland,1,0,Friendly,False
2018-03-09,Portugal,Germany,3,5,Friendly,False
2018-03-10,Germany,Japan,3,1,Friendly,False
2018-03-12,Argentina,England,2,1,Friendly,False
2018-03-13,Costa Rica,Germany,0,2,Friendly,True
2018-03-14,Ecuador,Switzerland,1,2,Friendly,False
2018-03-15,Australia,Mexico,0,1,Friendly,False
2018-03-16,New Zealand,South Korea,0,1,Friendly,True
2018-03-18,Denmark,Morocco,1,0,Friendly,False
2018-03-19,Senegal,Qatar,0,1,Friendly,False
2018-03-20,Netherlands,Brazil,3,2,Friendly,False
2018-03-21,Switzerland,Mexico,4,2,Friendly,False
2018-03-23,Ghana,Mexico,0,1,Friendly,True
2018-03-24,Spain,USA,1,1,Friendly,False
2018-03-25,Morocco,Ghana,1,0,Friendly,False
2018-03-26,Mexico,Ghana,4,1,Friendly,False
2018-03-28,Uruguay,Argentina,0,0,Friendly,False
2018-03-29,Germany,Morocco,3,1,Friendly,False
2018-03-30,Uruguay,Spain,1,0,Friendly,False
2018-03-31,Canada,Netherlands,0,1,Friendly,True
2018-04-01,Qatar,Senegal,0,4,Friendly,True
2018-04-03,Denmark,USA,2,3,Friendly,False
2018-04-04,New Zealand,Morocco,0,2,Friendly,False
2018-04-05,Argentina,Senegal,2,0,Friendly,False
2018-04-06,Belgium,Argentina,1,0,Friendly,False
2018-04-08,Morocco,Costa Rica,5,3,Friendly,False
2018-04-09,Spain,England,4,2,Friendly,False
2018-04-10,Argentina,Australia,5,1,Friendly,True
2018-04-11,Germany,Switzerland,1,1,Friendly,False
2018-04-13,Croatia,Poland,5,0,Friendly,False
2018-04-14,Denmark,England,1,0,Friendly,True
2018-04-15,Poland,Ghana,1,2,Friendly,False
2018-04-16,Saudi Arabia,Italy,0,2,Friendly,False
2018-04-17,Ecuador,Senegal,3,0,Friendly,False
2018-04-19,Senegal,England,1,2,Friendly,False
2018-04-20,England,Qatar,1,0,Friendly,True
2018-04-21,New Zealand,South Korea,3,1,Friendly,False
2018-04-22,Switzerland,Uruguay,2,1,Friendly,False
2018-04-24,Netherlands,Ghana,3,1,Friendly,True
2018-04-25,Saudi Arabia,Italy,4,1,Friendly,False
2018-04-26,South Korea,Morocco,1,1,Friendly,False
2018-04-27,Italy,New Zealand,0,0,Friendly,True
2018-04-29,Belgium,Mexico,0,1,Friendly,True
2018-04-30,Italy,Costa Rica,1,0,Friendly,True
2018-05-01,Argentina,Brazil,0,1,Friendly,False
2018-05-02,Argentina,England,3,0,Friendly,False
2018-05-03,Costa Rica,USA,0,1,Friendly,True
2018-05-05,USA,Ecuador,0,0,Friendly,False
2018-05-06,Brazil,Italy,0,0,Friendly,True
2018-05-07,Brazil,Costa Rica,4,2,Friendly,False
2018-05-08,Saudi Arabia,Poland,2,3,Friendly,False
2018-05-10,Ghana,Switzerland,0,1,Friendly,False
2018-05-11,Serbia,Spain,0,2,Friendly,False
2018-05-12,Argentina,Italy,2,0,Friendly,False
2018-05-13,Australia,South Korea,1,0,Friendly,False
2018-05-14,Portugal,Switzerland,1,2,Friendly,False
2018-05-16,Portugal,Belgium,3,1,Friendly,False
2018-05-17,France,Saudi Arabia,5,2,Friendly,False
2018-05-18,Costa Rica,Mexico,1,0,Friendly,False
2018-05-19,Argentina,Poland,3,0,Friendly,False
2018-05-21,Costa Rica,Saudi Arabia,2,1,Friendly,True
2018-05-22,Costa Rica,Spain,2,3,Friendly,False
2018-05-23,Germany,Argentina,2,2,Friendly,True
2018-05-24,Canada,Croatia,1,2,Friendly,False
2018-05-26,Colombia,Uruguay,0,1,Friendly,True
2018-05-27,Colombia,Argentina,0,3,Friendly,True
2018-05-28,Portugal,Qatar,1,1,Friendly,False
2018-05-29,Mexico,Netherlands,0,1,Friendly,False
2018-05-30,Poland,Italy,3,0,Friendly,False
2018-06-01,Qatar,Saudi Arabia,0,2,Friendly,False
2018-06-02,Portugal,Mexico,3,1,Friendly,True
2018-06-03,Netherlands,England,0,1,Friendly,False
2018-06-04,Netherlands,Costa Rica,2,0,Friendly,False
2018-06-06,Portugal,England,3,1,Friendly,False
2018-06-07,Portugal,Italy,3,1,Friendly,False
2018-06-08,Croatia,New Zealand,3,1,Friendly,True
2018-06-09,Portugal,Belgium,2,1,Friendly,True
2018-06-11,Argentina,Mexico,4,1,Friendly,True
2018-06-12,Switzerland,France,3,3,Friendly,False
2018-06-13,Uruguay,Switzerland,0,1,Friendly,False
2018-06-14,Morocco,Brazil,2,2,Friendly,False
2018-06-15,Spain,Denmark,1,2,Friendly,False
2018-06-17,Japan,Qatar,5,1,Friendly,False
2018-06-18,Saudi Arabia,Costa Rica,2,1,Friendly,False
2018-06-19,Morocco,Ecuador,0,2,Friendly,True
2018-06-20,Italy,Morocco,0,2,Friendly,False
2018-06-22,Ecuador,Costa Rica,0,0,Friendly,False
2018-06-23,Brazil,Belgium,1,3,Friendly,False
2018-06-24,South Korea,Italy,1,0,Friendly,False
2018-06-25,Switzerland,Italy,2,2,Friendly,False
2018-06-27,USA,Ecuador,3,4,Friendly,False
2018-06-28,South Korea,Denmark,1,1,Friendly,True
2018-06-29,Morocco,Croatia,1,0,Friendly,False
2018-06-30,France,Germany,2,0,Friendly,False
2018-07-01,Colombia,England,0,4,Friendly,True
2018-07-03,Panama,Qatar,2,0,Friendly,False
2018-07-04,Australia,Ghana,2,4,Friendly,False
2018-07-05,Portugal,Ecuador,2,0,Friendly,False
2018-07-06,Croatia,Ecuador,3,2,Friendly,False
2018-07-08,Uruguay,Netherlands,1,0,Friendly,True
2018-07-09,Switzerland,Italy,0,2,Friendly,True
2018-07-10,Spain,Uruguay,1,3,Friendly,False
2018-07-11,Spain,France,2,2,Friendly,False
2018-07-12,Morocco,Colombia,1,0,Friendly,True
2018-07-14,Portugal,Uruguay,2,1,Friendly,False
2018-07-15,New Zealand,Portugal,2,2,Friendly,False
2018-07-16,Canada,Netherlands,2,0,Friendly,False
2018-07-17,Switzerland,New Zealand,1,2,Friendly,False
2018-07-19,Brazil,Colombia,2,0,Friendly,False
2018-07-20,Croatia,Belgium,2,2,Friendly,True
2018-07-21,New Zealand,Ghana,1,1,Friendly,True
2018-07-22,Costa Rica,France,0,1,Friendly,True
2018-07-24,Saudi Arabia,South Korea,0,1,Friendly,False
2018-07-25,Italy,New Zealand,2,0,Friendly,True
2018-07-26,England,France,5,1,Friendly,True
2018-07-27,Denmark,Japan,1,2,Friendly,False
2018-07-28,Belgium,Panama,1,0,Friendly,False
2018-07-30,Germany,Croatia,2,1,Friendly,True
2018-07-31,South Korea,Poland,1,1,Friendly,False
2018-08-01,Colombia,Costa Rica,2,0,Friendly,False
2018-08-02,England,Mexico,1,2,Friendly,False
2018-08-04,Portugal,Mexico,2,3,Friendly,False
2018-08-05,Qatar,Argentina,1,4,Friendly,False
2018-08-06,France,Senegal,3,0,Friendly,False
2018-08-07,Poland,Morocco,3,2,Friendly,False
2018-08-09,England,USA,4,1,Friendly,False
2018-08-10,England,Panama,3,1,Friendly,False
2018-08-11,Poland,Morocco,1,1,Friendly,True
2018-08-12,Senegal,Japan,0,0,Friendly,True
2018-08-13,USA,Mexico,4,3,Friendly,True
2018-08-15,Morocco,Brazil,2,1,Friendly,False
2018-08-16,France,Mexico,2,0,Friendly,True
2018-08-17,Argentina,Ghana,4,1,Friendly,False
2018-08-18,Serbia,Brazil,1,6,Friendly,False
2018-08-20,Serbia,Costa Rica,4,1,Friendly,False
2018-08-21,Germany,Mexico,0,3,Friendly,True
2018-08-22,France,Spain,1,3,Friendly,True
2018-08-23,Senegal,Brazil,0,1,Friendly,True
2018-08-25,New Zealand,Croatia,0,4,Friendly,False
2018-08-26,England,Mexico,2,2,Friendly,True
2018-08-27,Uruguay,Denmark,1,1,Friendly,False
2018-08-28,South Korea,Australia,0,1,Friendly,True
2018-08-29,Argentina,Mexico,3,1,Friendly,False
2018-08-31,Morocco,Canada,3,0,Friendly,True
